 ******* Program HYDRUS
 ******* 
 None                                                                    
 Date:  16. 1.    Time:  15:28:29
 Units: L = mm   , T = days , M = mmol 



                               Node( 37)

         time            h        theta    Temp  
        275.0000    -1604.14  0.0711   20.000
        276.0000    -1604.14  0.0711   20.000
        277.0000    -1604.14  0.0711   20.000
        278.0000    -1604.14  0.0711   20.000
        279.0000    -1604.14  0.0711   20.000
        280.0000    -1604.14  0.0711   20.000
        281.0000    -1604.14  0.0711   20.000
        282.0000    -1604.14  0.0711   20.000
        283.0000    -1604.14  0.0711   20.000
        284.0000    -1604.14  0.0711   20.000
        285.0000    -1604.14  0.0711   20.000
        286.0000    -1604.14  0.0711   20.000
        287.0000    -1604.14  0.0711   20.000
        288.0000    -1604.14  0.0711   20.000
        289.0000    -1604.14  0.0711   20.000
        290.0000    -1604.14  0.0711   20.000
        291.0000    -1604.14  0.0711   20.000
        292.0000    -1604.14  0.0711   20.000
        293.0000    -1604.14  0.0711   20.000
        294.0000    -1604.14  0.0711   20.000
        295.0000    -1604.14  0.0711   20.000
        296.0000    -1604.14  0.0711   20.000
        297.0000    -1604.14  0.0711   20.000
        298.0000    -1604.14  0.0711   20.000
        299.0000    -1604.14  0.0711   20.000
        300.0000    -1604.14  0.0711   20.000
        301.0000    -1604.14  0.0711   20.000
        302.0000    -1604.14  0.0711   20.000
        303.0000    -1604.14  0.0711   20.000
        304.0000    -1604.14  0.0711   20.000
        305.0000    -1604.14  0.0711   20.000
        306.0000    -1604.14  0.0711   20.000
        307.0000    -1604.14  0.0711   20.000
        308.0000    -1604.14  0.0711   20.000
        309.0000    -1604.14  0.0711   20.000
        310.0000    -1604.14  0.0711   20.000
        311.0000    -1604.14  0.0711   20.000
        312.0000    -1604.14  0.0711   20.000
        313.0000    -1604.14  0.0711   20.000
        314.0000    -1604.14  0.0711   20.000
        315.0000    -1604.14  0.0711   20.000
        316.0000    -1604.14  0.0711   20.000
        317.0000    -1604.14  0.0711   20.000
        318.0000    -1604.14  0.0711   20.000
        319.0000    -1604.14  0.0711   20.000
        320.0000    -1604.14  0.0711   20.000
        321.0000    -1604.14  0.0711   20.000
        322.0000    -1604.14  0.0711   20.000
        323.0000    -1604.14  0.0711   20.000
        324.0000    -1604.14  0.0711   20.000
        325.0000    -1604.14  0.0711   20.000
        326.0000    -1604.14  0.0711   20.000
        327.0000    -1604.14  0.0711   20.000
        328.0000    -1604.14  0.0711   20.000
        329.0000    -1604.14  0.0711   20.000
        330.0000    -1604.14  0.0711   20.000
        331.0000    -1604.14  0.0711   20.000
        332.0000    -1604.14  0.0711   20.000
        333.0000    -1604.14  0.0711   20.000
        334.0000    -1604.14  0.0711   20.000
        335.0000    -1604.14  0.0711   20.000
        336.0000    -1604.14  0.0711   20.000
        337.0000    -1604.14  0.0711   20.000
        338.0000    -1604.14  0.0711   20.000
        339.0000    -1604.14  0.0711   20.000
        340.0000    -1604.14  0.0711   20.000
        341.0000    -1604.14  0.0711   20.000
        342.0000    -1604.14  0.0711   20.000
        343.0000    -1604.14  0.0711   20.000
        344.0000    -1604.14  0.0711   20.000
        345.0000    -1604.14  0.0711   20.000
        346.0000    -1604.14  0.0711   20.000
        347.0000    -1604.14  0.0711   20.000
        348.0000    -1604.14  0.0711   20.000
        349.0000    -1604.14  0.0711   20.000
        350.0000    -1604.14  0.0711   20.000
        351.0000    -1604.14  0.0711   20.000
        352.0000    -1604.14  0.0711   20.000
        353.0000    -1604.14  0.0711   20.000
        354.0000    -1604.14  0.0711   20.000
        355.0000    -1604.14  0.0711   20.000
        356.0000    -1604.14  0.0711   20.000
        357.0000    -1604.14  0.0711   20.000
        358.0000    -1604.14  0.0711   20.000
        359.0000    -1604.14  0.0711   20.000
        360.0000    -1604.14  0.0711   20.000
        361.0000    -1604.14  0.0711   20.000
        362.0000    -1604.14  0.0711   20.000
        363.0000    -1604.14  0.0711   20.000
        364.0000    -1604.14  0.0711   20.000
        365.0000    -1604.14  0.0711   20.000
        366.0000    -1604.14  0.0711   20.000
        367.0000    -1604.14  0.0711   20.000
        368.0000    -1604.14  0.0711   20.000
        369.0000    -1604.14  0.0711   20.000
        370.0000    -1604.14  0.0711   20.000
        371.0000    -1604.14  0.0711   20.000
        372.0000    -1604.14  0.0711   20.000
        373.0000    -1604.14  0.0711   20.000
        374.0000    -1604.14  0.0711   20.000
        375.0000    -1604.14  0.0711   20.000
        376.0000    -1604.14  0.0711   20.000
