date,pet_mm,temp.mean.agr_c,min_temp_c,max_temp_c,precip_mm
2025-07-09,6.013121821,21.39895833,7.76,32.53,0
2025-07-10,5.617925259,18.24229167,6.26,25.48,0
2025-07-11,5.969698369,16.7203125,4.76,27.01,0
2025-07-12,5.500817324,17.69802083,3.54,30,0
2025-07-13,6.324790026,20.24583333,6.14,32.29,0
2025-07-14,5.930346864,21.64125,7.33,32.53,0
2025-07-15,2.136536799,13.84166667,11.59,16.53,0
2025-07-16,5.214340409,16.5990625,8.41,26.15,0
2025-07-17,5.485550584,18.15791667,4.18,28.94,0
2025-07-18,6.150201504,18.796875,4.45,30.84,0
2025-07-19,4.686356581,18.2753125,7.33,26.95,0
2025-07-20,4.738190864,17.39354167,5.85,26.91,0
2025-07-21,3.442834054,17.11568182,11.99,25.3,0.762
2025-07-22,4.542259276,16.0628125,7.1,24.57,0
2025-07-23,5.095628723,14.95802083,3.53,25.36,0
2025-07-24,5.545982209,16.64625,1.96,29.03,0
2025-07-25,5.530934141,19.04239583,3.79,31.14,0
2025-07-26,5.026542212,18.05989583,5.42,31.09,0.254
2025-07-27,4.073820044,17.21708333,8.15,29.07,3.556
2025-07-28,4.505639153,18.1759375,7.22,29.92,3.556
2025-07-29,5.61344848,20.84928571,6.37,31.91,0
2025-07-30,5.925788307,20.4996875,6.36,30.27,2.794
2025-07-31,4.881275753,18.605625,7.45,31.23,0
2025-08-01,4.653166531,17.57927083,8.26,28.35,0
2025-08-02,4.245608444,16.4190625,7.81,25.45,0
2025-08-03,5.042262131,17.19583333,4.9,28.47,0
2025-08-04,3.326590411,15.61864583,6.56,27.61,3.81
2025-08-05,4.525224113,16.09833333,6.48,25.5,0
2025-08-06,3.98447234,17.58989583,5.11,28.07,0
2025-08-07,1.545066688,10.65229167,3.17,15.36,4.064
2025-08-08,2.121483556,11.209375,4.1,18.02,0
2025-08-09,4.090160941,13.92083333,3.87,23.91,0
2025-08-10,4.503237853,16.74104167,5.62,26.84,0
2025-08-11,3.923319278,18.37322917,7.58,28.6,0
2025-08-12,4.969405695,19.173125,7.33,31.63,0
2025-08-13,5.399758651,19.45802083,6.28,31.32,0
2025-08-14,5.2891572,17.93354167,4.83,29.31,0
2025-08-15,4.829220367,17.05145833,4.68,30.08,0
2025-08-16,4.013928515,16.6246875,5.23,29.74,3.81
2025-08-17,2.923696458,15.16302083,7.16,22.92,5.842
2025-08-18,3.550117461,16.63364583,5.84,29.97,1.27
2025-08-19,4.848925179,20.70645833,6.71,34.61,0
2025-08-20,4.726558074,19.5553125,8.47,31.38,0
2025-08-21,4.530725563,16.34729167,5.1,28.5,0
2025-08-22,4.170736633,15.95271739,4.26,26.17,0
2025-08-23,5.123150693,16.615625,3.05,31.42,0
2025-08-24,4.451737773,17.91666667,4.81,31.52,0
2025-08-25,4.317067897,18.7446875,5.74,31.99,0
2025-08-26,3.40389377,18.37083333,6.1,29.85,0
2025-08-27,1.92989552,17.94385417,13.64,22.06,0.508
2025-08-28,1.247711286,14.92947917,9.67,17.17,6.35
2025-08-29,3.459207526,16.4496875,8.72,25.76,0.508
2025-08-30,3.919756059,15.42239583,5.65,27.7,0
2025-08-31,4.271600329,15.9,3.43,31.3,0
2025-09-01,3.893275165,18.46583333,4.28,32.68,0
2025-09-02,4.312725096,18.12864583,4.61,33.17,0
2025-09-03,3.905833257,17.71239583,4.93,32.36,0
2025-09-04,3.129261779,13.65141304,4.52,22.69,0
2025-09-05,3.803503657,13.00083333,1.23,25.61,0
2025-09-06,3.31809677,14.19697917,2.31,29.44,0
2025-09-07,3.133252097,17.360625,7.01,28.73,0
2025-09-08,3.396226785,14.95125,4.21,26.24,0
2025-09-09,2.285998442,13.10177083,2.27,24.69,0
2025-09-10,2.633833547,14.33,4.12,24.72,0.254
2025-09-11,1.783037929,11.78416667,2.87,21.81,0.508
2025-09-12,2.726821052,11.710625,1.25,23.46,0
2025-09-13,2.722242647,12.51104167,1.12,24.48,0
2025-09-14,2.57450401,12.599375,2.33,25.18,1.27
2025-09-15,2.162135031,11.74,4.96,17.67,0
2025-09-16,1.933561557,13.11947917,6.94,20.43,0
2025-09-17,2.760305378,12.20052083,1.6,25.41,0
2025-09-18,2.869498525,11.6528125,0.25,26.32,0
2025-09-19,2.764455223,11.82260417,0.74,27.34,0
2025-09-20,2.905723606,12.17354167,0.39,28.29,0
2025-09-21,2.040827928,10.76479167,1.34,23.81,3.556
2025-09-22,2.200572032,9.839791667,0.2,18.89,0
2025-09-23,2.630453103,8.406145833,-3.87,24.08,0
2025-09-24,2.793593347,11.3240625,-1.14,28.37,0
2025-09-25,2.807248634,12.32416667,-1.24,28.75,0
2025-09-26,2.236106888,10.85697917,0,19.8,0
2025-09-27,3.11842738,8.727395833,-2.81,25.08,0
2025-09-28,2.739115065,12.13541667,-1.31,29.69,0
2025-09-29,2.228319714,13.78541667,1.69,27.67,0
2025-09-30,1.748770297,13.1103125,7.04,20.51,0.762
2025-10-01,2.001919625,11.974375,2.78,19.62,0.254
2025-10-02,1.843138034,10.50552083,2.12,20.72,0
2025-10-03,0.936144356,10.1646875,8.05,12.31,4.572
2025-10-04,1.31205623,7.900104167,2.94,12.74,0.254
2025-10-05,0.870281324,3.3265625,-3.78,8.56,0.254
2025-10-06,1.460319001,1.789166667,-7.16,13.35,0
2025-10-07,1.669544459,5.020625,-4.53,19.57,0
2025-10-08,1.724916729,7.1125,-3.88,22.3,0
2025-10-09,1.87579056,9.154895833,-3.31,24.6,0
2025-10-10,2.11295431,11.66791667,-1.41,24.33,0
2025-10-11,1.546651422,9.10875,4.28,15.84,0
2025-10-12,0.758563731,2.679166667,-0.84,5.38,2.032
2025-10-13,0.791262714,-0.380104167,-2.49,1.21,0.508
2025-10-14,0.719822012,1.071770833,-0.17,2.95,2.794
2025-10-15,0.599052988,2.4090625,1.09,3.89,0.254
2025-10-16,0.812165567,2.942916667,-2.89,8.52,0
2025-10-17,0.973577195,4.483958333,-2.35,12.47,3.556
2025-10-18,1.0593822,1.604791667,-5.43,10.55,0
2025-10-19,0.690796084,3.038020833,-2.2,11.29,0.762
2025-10-20,1.04545866,3.966145833,-2.54,8.87,0
2025-10-21,1.527387876,3.868854167,-3.63,14.78,0
2025-10-22,1.074321709,1.911666667,-7.36,16.31,0
2025-10-23,0.971129165,2.738125,-6.15,15.66,0
2025-10-24,0.958070648,3.548333333,-5.31,15.28,0
2025-10-25,0.856814643,7.179479167,1.79,11.04,0.508
2025-10-26,0.846803848,1.800625,-3.78,7.32,0
2025-10-27,0.880789272,1.18125,-4.66,4.57,0
2025-10-28,1.087160614,1.523958333,-5.09,7.81,0
2025-10-29,0.665748632,2.600729167,-5.7,9.53,0
2025-10-30,0.948242154,-0.0190625,-7.52,9.24,0
2025-10-31,0.608640153,-0.981979167,-9.38,7.98,0
2025-11-01,1.059993281,7.9746875,-5.17,22.19,0
2025-11-02,1.024908023,4.2709375,-7.45,12.36,0
2025-11-03,0.723403172,-1.6403125,-7.23,3.25,0
2025-11-04,0.49827656,2.665208333,-1.65,8.24,0
