

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

   195.00000 -0.631943E+01  0.345846E+02 -0.691535E+01  0.124873E+02 -0.122305E+00    -45.997    -89.432  -1241.465     195
   196.00000 -0.758943E+01  0.349986E+02 -0.818535E+01  0.129013E+02 -0.122346E+00    -38.377    -61.942  -1244.237     196
   197.00000 -0.885943E+01  0.354304E+02 -0.945535E+01  0.133331E+02 -0.122387E+00    -34.141    -48.484  -1246.995     197
   198.00000 -0.101396E+02  0.358978E+02 -0.107356E+02  0.138005E+02 -0.122428E+00    -31.667    -41.250  -1249.741     198
   199.00000 -0.126796E+02  0.363423E+02 -0.132756E+02  0.142450E+02 -0.122468E+00    -13.223    -18.220  -1252.475     199
   200.00000 -0.126796E+02  0.367614E+02 -0.132756E+02  0.146641E+02 -0.122509E+00    -60.111    -46.964  -1255.198     200
   201.00000 -0.139496E+02  0.372008E+02 -0.145456E+02  0.151035E+02 -0.122549E+00    -28.768    -31.454  -1257.909     201
   202.00000 -0.139496E+02  0.376733E+02 -0.145456E+02  0.155759E+02 -0.122589E+00    -63.921    -47.276  -1260.607     202
   203.00000 -0.139496E+02  0.381406E+02 -0.145456E+02  0.160433E+02 -0.122629E+00    -78.415    -57.744  -1263.293     203
   204.00000 -0.139496E+02  0.386004E+02 -0.145456E+02  0.165030E+02 -0.122668E+00    -90.942    -67.236  -1265.968     204
   205.00000 -0.139496E+02  0.390703E+02 -0.145456E+02  0.169729E+02 -0.122708E+00   -103.902    -76.854  -1268.630     205
   206.00000 -0.139496E+02  0.395351E+02 -0.145456E+02  0.174377E+02 -0.122747E+00   -117.874    -86.952  -1271.280     206
   207.00000 -0.139496E+02  0.399847E+02 -0.145456E+02  0.178873E+02 -0.122786E+00   -133.031    -97.359  -1273.919     207
