,date,pet_mm,temp.mean.agr_c,min_temp_c,max_temp_c,precip_mm
131,2025-05-11,3.132073859,12.69322917,2.21,23.55,0.270000146
132,2025-05-12,2.342400701,10.29114583,5.18,15.5,0.970000524
133,2025-05-13,1.402462669,6.37,4.09,9.31,6.480003499
134,2025-05-14,2.22502705,7.908229167,5.49,11.86,0.960000518
135,2025-05-15,3.032803798,8.074270833,1.83,13.08,4.290002317
136,2025-05-16,2.81466238,7.905208333,1.7,13.06,0
137,2025-05-17,3.177983489,9.023125,-0.73,16.97,1.070000578
138,2025-05-18,2.475637171,7.577083333,2.98,10.64,15.5500084
139,2025-05-19,3.436521211,5.88,-3.1,13.2,0
140,2025-05-20,2.893281179,7.322916667,-1.47,13.01,0.080000043
141,2025-05-21,3.260518205,5.541666667,-4.26,14.04,0
142,2025-05-22,1.395054429,5.324166667,-1.83,10.72,10.04000542
143,2025-05-23,3.27242962,8.121875,0.24,16.13,0.330000178
144,2025-05-24,4.407494388,9.7015625,-2.24,20.7,0
145,2025-05-25,4.860336334,13.89708333,-0.33,25.93,0
146,2025-05-26,5.212297489,16.71635417,3.09,27.13,1.320000713
147,2025-05-27,4.472681024,14.8784375,5.79,22.92,0
148,2025-05-28,5.363532204,15.8590625,2.83,25.59,0
149,2025-05-29,5.642986813,18.52677083,4.54,29.7,0
150,2025-05-30,5.613559796,15.97739583,5.61,25.67,0
151,2025-05-31,5.950470168,17.499375,1.96,31.57,0
152,2025-06-01,4.709485457,15.8215625,5.57,21.84,0
153,2025-06-02,4.932848082,11.81041667,2.96,17.71,0
154,2025-06-03,3.350477149,8.421041667,-2.13,16.63,0
155,2025-06-04,3.769148181,9.2696875,-2.13,19.05,0
156,2025-06-05,4.504571905,10.6428125,-1.56,22.02,0
157,2025-06-06,3.911392512,12.44177083,-0.73,22.53,0
158,2025-06-07,4.664888703,16.42333333,3.88,25.47,0
159,2025-06-08,6.257327864,17.47083333,7.31,27.62,0
160,2025-06-09,6.127125307,18.12854167,3.8,30.58,0
161,2025-06-10,6.341537394,19.64645833,5.27,31.49,0
162,2025-06-11,3.089851117,15.64697917,6.08,24.81,0
163,2025-06-12,3.634099413,14.3690625,6.32,24.97,1.410000761
164,2025-06-13,3.510247568,13.61958333,3.95,22.42,0
165,2025-06-14,4.868022697,15.96947917,5,26.63,0
166,2025-06-15,4.871363851,15.7425,2.84,26.82,0
167,2025-06-16,2.317675687,12.75614583,6.25,21.52,5.420002927
168,2025-06-17,5.036140873,14.04641304,3.06,25.77,0
169,2025-06-18,5.568396481,16.18760417,3.02,27.72,0
170,2025-06-19,5.908792216,17.8815625,3.54,29.49,1.160000626
171,2025-06-20,2.446797595,12.35770833,7.41,19.84,15.7400085
172,2025-06-21,3.013566594,8.519375,2.21,14.01,4.140002236
173,2025-06-22,1.53096602,5.7315625,1.49,9.19,4.100002214
174,2025-06-23,3.310156078,8.858020833,-0.44,18.36,0
175,2025-06-24,5.942779276,12.04271429,0.3,24.56,0
176,2025-06-25,4.935858946,15.99461538,4.21,26.01,0
177,2025-06-26,3.801240453,15.98258065,8.85,24.75,0
178,2025-06-27,4.316723222,15.8775,7.67,23.55,0
179,2025-06-28,4.006682604,15.03555556,5.85,23.29,0
180,2025-06-29,5.308823261,14.42888889,1.74,25.71,0
181,2025-06-30,5.757949999,19.16157895,2.28,31.97,0
182,2025-07-01,7.532167857,22.69613636,7.08,33.22,0
183,2025-07-02,3.942206923,18.53029412,6.74,32.72,0.530000286
184,2025-07-03,6.778209752,19.54611111,9.99,29.98,0
