,thetar,thetas,alpha,n,ksat,l,thetar_macro,thetas_macro,alpha_macro,n_macro,ksat_macro,l_macro,w,beta,gamma,a,ka,nse
65,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.013233225612391491,0.7733730414553217,0.7683346342948661,6.4710392583828,786.3856859014147,0.5,0.13364714161687435,13.910024600409477,0.4,1.429370865379337,4.578906186429952,-1099.3228090266678
66,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.0011811130050837836,0.6350813425470354,0.757677033208377,6.397667800863187,745.3374948582311,0.5,0.10411201335122945,3.415132390576514,0.4,1.3787185273046572,0.43935260140128335,-1099.3228090266678
67,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.019340771765860264,0.2737256717625267,0.20575345125413208,1.3435032870907087,256.2325351396866,0.5,0.22309133767664582,17.411980665624128,0.4,4.8175832701924035,4.35819397036614,-1099.3228090266678
68,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.09528088093572828,0.574861981748091,0.0937271012586174,1.9525844443818974,767.6124068003135,0.5,0.08049727207990898,16.919162530001234,0.4,4.453350732607555,5.735025900639233,-1099.3228090266678
69,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.05908711556798692,0.5278307015319961,0.11944307601125474,3.3636419117150256,896.923980312703,0.5,0.0704249509887421,3.620223684517392,0.4,3.234098124276896,4.619676079507818,-1099.3228090266678
70,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.069844467839704,0.701324225224327,0.36889416543075754,3.902427213019789,16.721933668691015,0.5,0.05920903422019304,16.678048320620242,0.4,9.060405573935876,2.3902644037247747,-1099.3228090266678
71,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.05203988855731648,0.753982312190399,0.2766786931983404,5.707644791547288,554.5506772868911,0.5,0.0937790586664302,5.268390679088431,0.4,5.65474611113678,7.064080747948736,-1099.3228090266678
72,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.09666447322871126,0.4350797595231437,0.6751709376886048,6.502961837067264,854.9693893153619,0.5,0.007146998944086277,9.426428189164078,0.4,7.337560176000535,9.39208960227478,-1099.3228090266678
73,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.02658794596646928,0.38019513749161693,0.602684796710859,2.3204408862188775,633.4841889537507,0.5,0.08874911209588092,3.944312487615768,0.4,3.4740358063505785,0.34994656392189427,-1099.3228090266678
74,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.04610305419065067,0.35228170913123213,0.5146412057500772,6.65642275767998,519.1023759820129,0.5,0.04172404906248735,12.64304576164093,0.4,7.43056593823049,2.545934449146724,-1099.3228090266678
75,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.07862868977932502,0.5429617121710821,0.5559976705918901,2.2773484634221925,181.0290030368499,0.5,0.10779394005444476,2.598001586609529,0.4,2.253222644640805,3.8564741348786176,-1099.3228090266678
76,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.04219475420584891,0.5254850646882423,0.3801799106353195,5.932900154239399,155.65580152416197,0.5,0.14583600899443253,17.950968168172544,0.4,6.847694635378544,2.7258554401540325,-1099.3228090266678
77,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.09721494672552052,0.2711985164373215,0.10476388673563052,5.102291957901773,800.0889665848063,0.5,0.1784093592376676,11.678519750741978,0.4,7.08332346823624,7.960264349029039,-1099.3228090266678
78,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.009544626741877962,0.38566869331826337,0.3667330010623374,1.4723573735665396,660.2524400404888,0.5,0.13945014098108502,12.746683713558133,0.4,7.307465169237332,4.338957179804944,-1099.3228090266678
79,0.0792,0.4418,0.0158,1.4145,8.18,0.5,0.06327723949185747,0.6135780604362207,0.14732868046626232,1.247857690723916,750.2548061609687,0.5,0.13293093184723384,1.775631157457497,0.4,5.9138869538880385,0.6401525340275853,-0.9712289420197862
